date,catchname,st_0,st_1,st_2,st_3,st_4,st_5,st_6,st_7,st_8,st_9,st_10,st_11,st_12,st_13,st_14,st_15,st_16,st_17,st_18,st_19,st_20,st_21,st_22,st_23,st_24,st_25,st_26,st_27,st_28,st_29,st_30,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,prec_13,prec_14,prec_15,prec_16,prec_17,prec_18,prec_19,prec_20,prec_21,prec_22,prec_23,prec_24,prec_25,prec_26,prec_27,prec_28,prec_29,prec_30
2023-11-29,84.20.0,-3.533087065876177,2.500433953991862,-14.00507274985468,1.1667368688384268,1.8399750650183189,-8.881592498806327,-5.106859268075128,-2.617730040094941,-4.548629779515316,-0.2397786042013892,-2.1886140359070025,-5.708973194072099,-7.0950235678250895,0.12132109001747082,-3.0648823877972675,-6.366273725991363,-1.3750184985432443,-0.6087600885977609,0.82373650326153,-11.598207828943627,-0.9867456180671401,2.8273169578990904,1.5052598206344663,-1.7750625963888864,3.152886999289054,0.4755308843655697,3.4869184019716144,2.171505006153812,-4.02608861445165,-10.054005398664518,-7.91995202333554,0.5104833998291654,21.147461503132558,0.0,4.324847535890377,2.0206313175089043,0.0,2.6060154670951854,0.37438165036750976,0.13205413813329672,1.5602027095628477,0.6861130253906613,0.0,0.0,13.715807610500493,0.27000056853001775,0.0,0.0,1.1971139907568191,0.0,0.0,0.0,7.34358063274484,0.19096925983233579,9.829255332780543,0.0,0.0,5.604169472829287,0.9109394150884872,3.3551017586834515,0.0,0.0
2023-11-30,84.20.0,0.30144120447463063,-2.5963198464351964,-15.448951683541992,0.6801806163086637,1.05325833150851,-7.140314222178056,-4.594920682758644,-0.8779301297937763,-5.163282945673238,2.1461335543810196,-6.425375681994183,-5.770463004501432,-9.876198713679285,-3.0630645921116604,-0.47659303816089915,-8.830232973004579,-0.08382888278762168,-1.7113809523732528,1.7855320933559997,-12.831031250781283,-3.549427269732862,3.2134185865922795,3.5728371606884184,-2.146504506111788,1.4214660131136174,-1.2890608219604123,2.859452129863162,2.503905943026351,-4.05868833495,-11.151419296066267,-7.93296738884829,4.046453412925066,6.4045416619553714,0.0,8.115523563075133,1.2291056782974261,3.218345050476451,0.0,0.14054292847693542,0.7199333138620263,0.5399989030075107,0.0,0.39839806143590983,0.0,0.0,0.2883122745111463,0.0,5.084966595525612,0.9463507709084094,2.015024174512,0.0,0.0,27.950861591426246,1.5802920257551627,13.626848960487328,0.0,0.0,18.5926009002719,2.552606899129895,0.20398775051881224,0.0,10.404677078403761
2023-12-01,84.20.0,2.4482409067799416,0.47713743185763047,-12.96384866111314,-0.79369088525611,-1.6978021013078397,-6.963406663538825,-3.7140591205853433,-4.279476638988752,-3.1770808332976364,3.2057133814760883,-6.209556626603014,-8.74530152739866,-9.848195367809648,-2.6642472093127747,-0.36018384925892644,-7.79920105058916,2.828468590176062,0.8833763645611543,1.2827291809958403,-15.724252953241677,-5.518999441099115,2.0643600378491715,3.5806360697359203,-2.1720992497450826,0.06299655625305434,-1.23899635980582,4.349693170010131,3.9550482886800373,1.6761121553015732,-11.192821554679488,-4.87877278657214,7.737760135358144,30.352475424668057,0.0,4.639053580817148,0.47478986798424827,0.7991174221256441,1.258195399237632,0.25596630068328496,1.8900867353734367,2.7475007168523686,1.0096929312728562,0.178518906988427,0.0,0.6220961159523632,1.5496809837624206,0.0,3.283713140867549,6.516486686486227,3.9084967028144857,0.0,0.0,16.723636428560166,5.498091286582185,9.226065822763486,0.353777663099796,0.11879783400680544,21.560581512326625,13.473851308816181,11.081628084270745,0.0,2.286495778878143
2023-12-02,84.20.0,1.489518286772514,-2.3706087636072617,-8.144699944244927,0.0675175716787102,1.8300054948395998,-9.308522595871391,-6.371221171690028,-5.647810866841047,-1.9267326931146354,0.43379553537494253,-4.995326364097782,-10.84141068271591,-7.190105391243071,2.166048095056074,3.478423817101035,-3.324772249525984,3.1539306209739735,-1.0902394586134667,-0.307698464614214,-13.230640547638274,-4.397624116007734,1.1438639641838204,2.827411714092619,-1.500760814171846,-2.835382914430422,0.7922494586285427,3.8019601796268945,4.138565050947166,2.49831088686409,-3.8434847648709916,-0.6931264766780529,1.5677463470996966,16.4869289226208,0.15157952106002578,3.7002615183092766,0.22002717712570555,0.7486121978364251,0.10049752249070423,0.0,1.9631194313442484,0.3095113454400307,0.0,0.0,0.0,12.89818662740367,4.5327066484313425,0.5687516340092159,6.787443496754422,2.4389930840486476,0.42418182373482954,0.0,0.0,32.023015424947125,5.544796858788989,10.306470313624297,0.0,1.2401615385194527,8.33562177483595,0.9699901660202119,21.930328693887514,0.0,3.0112619043076028
2023-12-03,84.20.0,-0.08031333669577911,-6.18848318699058,-3.182743830130427,-3.705771196596305,-2.686023565355992,-8.856995197488239,-7.836786869896176,-6.96161688543041,-1.3176484544355889,-2.2116378042898086,-4.260137263443297,-11.73906355189428,-10.100812855252812,3.910249250168593,3.56503400414746,1.0700154071193455,-0.8932400290036497,2.5175598388935776,1.8033186731819026,-14.292516425745639,-4.85236521917422,-0.48131973639538295,2.162459062249124,1.439428177456504,-5.491150354711,0.311140634627721,3.218243384487298,4.259257053433249,2.8692813142473304,-1.7563868740903095,0.6942327824001757,1.0599803935292995,0.8256245094809397,0.0,0.0,0.0,2.0943911994922115,0.0,0.0,3.8700492448462587,1.343678192844073,0.11950677231100668,0.1774257942212005,0.25391323997124776,31.879533124144825,16.606468968690276,8.525989806196215,0.3526113342592879,10.487911729444242,0.6335239064934344,0.0,0.0,3.169173964795952,1.6851125421767705,21.969748317438608,0.0,5.7323653359398,6.979022065782289,2.583908273635876,13.058739444541391,4.712645272975503,0.47760836912232163
2023-12-04,84.20.0,0.5211078263668361,-12.123669627325246,-3.6589798345854527,-7.836340775191133,-1.9796377720113947,-10.824153814093677,-9.709384209376587,-7.022672270007905,3.25746681455351,2.8129676703654756,-4.895950365773818,-15.794776106336961,-13.70801340430334,1.4551711586980027,-1.4549440211783224,-4.263240534488207,-2.5202385936291227,0.04244533170477638,2.36495366507488,-19.047300417467913,-6.268307134284494,-0.4455278503316382,1.9126351904458474,-0.9441521137581512,-8.724585869966734,3.699200099207978,4.138967183147204,4.585378092819502,0.9916565600709335,-3.0790926029462424,-5.5621695242465625,10.517078306852168,0.30077194440755994,0.8561460728767164,0.5262941938194167,0.676374029614109,0.4021854883064032,0.15462271223972965,0.0,2.381067667379682,4.914259234116578,0.0,0.0,0.21913087681565827,4.1084586435450445,1.6203395754427279,7.080214782450492,0.0,13.167795399103106,1.3226423249629924,0.0,0.0,17.13508663930499,2.8641053065177866,3.433614955615488,0.10483735990977308,5.887111771297269,1.9701921001990954,1.0698974419905314,8.576687633250657,24.388930661767343,0.0
2023-12-05,84.20.0,3.706465217122143,-14.97150519498255,1.5563631755760539,-2.788097329631067,-2.2526368228575366,-6.566599642975637,-7.34620816839975,-8.19727152422826,3.283215162482241,2.857322632102913,0.661399523262328,-18.087879573435195,-11.454070403607984,-5.1672332121163524,-9.140846427689146,-0.2647730024439907,1.112251193305307,-3.9226770963452218,0.20277373246158703,-12.97209390810213,-1.231935240480749,-4.52890183706913,-5.843812061366771,1.994677866329869,-10.208952028661622,2.4280623918231052,4.128455356904384,4.567365853399714,-3.343710612793245,-0.7425249668795404,-1.7346654294710495,29.841621229296333,0.2143638583553153,1.3761522172275367,6.676180359822943,3.449533644483696,0.4106925315348873,0.0,0.0,16.662560166908268,4.809954991995309,0.301905306068088,0.0,1.679451890061425,2.906758188227495,0.8923052862328357,7.8824783739180155,1.1153660621509074,11.16507454861504,0.0,2.437271515661838,0.0,5.665969872313604,4.078422684037974,21.35150907697699,0.1456002425208143,0.5433752323040871,9.346621004271947,2.0309073926514043,0.7028445073070916,13.50084230786721,0.0
2023-12-06,84.20.0,2.8925033642786637,-9.281833801868501,-0.30893962222587756,3.6548867293423064,-3.6095626567994463,-7.466641593246693,-6.698704751815412,-10.405336847224657,1.7298223003177484,-0.7400277804030848,1.3343194310363704,-16.391197271887904,-2.585801503842613,-2.102641410687675,-13.579210737023487,2.1208765518646,-4.7325583609193265,-8.318054036345213,0.11294008903882435,-11.775089365972011,-5.343053244660122,-5.9952434824904435,-1.6352622043514415,2.508209352421402,-4.1565751787236325,0.9335855132015811,3.274408164628586,4.047034345347082,-3.0871459769734733,-1.1816355374512701,0.5267701978955053,5.10078482149809,8.799698080677445,2.575447531178935,14.368751204670977,0.10849652504489561,0.6065810917780522,0.1734292809035693,0.25488531517033397,11.998831514753737,2.9701229008014662,0.3536294421928803,0.9409568684510632,23.932456793547807,3.9077569847173503,0.0,3.4118594936748323,0.7629414706544916,10.21498471350554,1.1422039773479302,0.47052897665040433,0.0,4.466837229516044,1.6221492941134896,17.817132031394166,1.3685372808765803,2.2221562914371433,6.660824866039161,7.637757440149839,1.9056477695479186,5.825082638401032,0.0
2023-12-07,84.20.0,3.0556255954683786,-1.2072805613977016,-4.0532791452534775,2.322637553758529,-2.088367819300049,-5.188332390900837,-8.956396701321392,-10.031204415629745,0.031185035877151712,-3.5299754650208985,2.6902753341853733,-13.067514957997929,-2.550586588991278,1.1996268521249034,-15.757623216000379,3.419374547302807,-6.4852266929028035,-7.219879299928256,0.8162617085642068,-11.34158855738012,-5.812255131220973,-8.034389474763007,-1.6412459547409242,1.952092690739836,-4.604297827485495,-0.37240939143812035,1.5779876733899312,3.7894619715027797,-3.0302015837829384,-0.7848131493727202,0.42707874996247996,13.83914106783761,10.725281803769839,0.20667613286639452,6.802435708998705,0.9093503496203865,0.0,0.0,0.0,2.8976006294081156,0.6999966969289884,0.0,0.0,1.481491694096866,27.458150832459978,0.0,18.591282815332846,0.0,3.5887886452609914,0.14344444791480895,0.0,0.0,0.28951165689867875,0.5310507430151704,4.436431664829058,0.39605718624339303,2.330828849518339,5.485555033917726,1.1667733780451879,1.8648051276194804,8.490608176259567,0.0
2023-12-08,84.20.0,0.7684030220176195,-3.1716015843737213,-2.2162409511776358,-0.8831909841115295,-0.043242269369554,-4.200555467557672,-3.6754889813030744,-7.305366335984628,-2.685990802390617,0.3656364981182598,3.1012529874722903,-14.220771683513755,1.9482471581135892,-6.5983369642890235,-17.04702120094561,1.5589497247174506,-4.75034255115477,-11.03079924295724,3.5014875023364946,-8.932929298044346,-12.40749943234753,-9.901597555679551,1.165911964393584,-0.4591714109048479,-8.077198313344343,-1.3164657113952685,2.334490430848769,2.7183421524647424,-5.942838681460088,-5.329247240258459,-1.7603133951508991,13.373973897470181,7.54185519299835,3.709307434910664,0.4063875329805044,9.047736285729336,1.1329472885866332,16.70284151514164,0.0,6.311700949091163,10.933228666009846,0.0,0.0,3.0931699214466963,2.1190274853047852,0.0,30.756759969376112,4.433991046763422,5.2907831133224565,0.8991426389635442,0.2118277067876207,0.0,0.14480731812822897,1.4098422373017816,2.56771024349778,1.7360630775653052,21.677128953265765,0.5402052691531996,0.2980212942530548,0.0,0.703101853378752,0.0
2023-12-09,84.20.0,1.1235665491077231,-6.26068355347847,2.9069662036007413,-2.9408064254408592,0.7551972517516683,-2.4799522199910107,-2.0358137627632726,-5.014519026530813,-0.7832493971917631,0.3812377110602223,1.8465986685135705,-8.635190404032521,2.555906299920776,-10.927082253967045,-6.966599229946102,-1.1891914248837883,0.0008299151641861791,-3.421030975222829,2.202649167944304,-9.667955560601719,-15.170377742927888,-3.92386492408076,-0.3869773701463193,3.6154425764511013,-7.749248737427289,-1.6061816748003825,3.256620422958614,1.4871272750045246,-5.614036184824064,-12.585496708600912,-4.453329765142218,2.8186607689170438,2.3410558357431377,6.742251702018844,0.0,11.516037215011822,0.0,8.01781975134455,0.0,22.507060371420692,5.679783231164452,0.11721548301923951,0.1770981312933136,1.2794575532060117,0.4770473544510925,1.5797140235104075,31.744544036059953,9.573949752672505,3.3750791345006093,1.9310910707677933,4.024375642357515,0.25513704793675895,0.8081768131405553,1.024058017077546,17.430079306001097,0.0,14.0222400778892,4.784648738654534,0.35411974849486794,0.6271931937174199,0.0,0.0
2023-12-10,84.20.0,3.6749239587174314,-6.898125937280453,2.2583275432851484,-4.388363529287307,0.8128954248682607,-2.877950789087585,-6.19319530695118,-1.1287800203980165,-4.948769698115065,0.43945771336086503,1.90277388246263,-7.679683322995922,2.611091751696003,-9.595712751674355,-5.547450280480987,-3.8596375120180824,3.3112138182852378,1.1807506937561185,-0.32768538811155334,-8.564388732288002,-15.090456765200761,-2.4177396670406957,-1.545188395383784,1.5438041011430141,-10.853082439311729,-0.7234044507690509,0.05958074464835983,2.961667517339033,-1.974220967790819,-12.509182715625444,-3.3575052257752045,1.6659188173621895,0.0,4.573449076789817,0.0,11.357702221041935,0.0,6.1808801235722095,24.538254099360433,2.8411043509351623,7.175143801542288,0.6897338095283264,0.526441229892867,8.335969142869365,0.18844635885470346,0.3899727708904444,9.708147445548706,3.919347506237736,13.387708486736669,0.11915335734493103,5.321421098039422,0.2780273077084251,1.1070940071359154,1.3670830701121335,33.681541326756765,0.0,19.440192118691566,15.972180025075378,0.8823573008783379,2.007773335680022,3.3454864446325487,2.3975531774488497
2023-11-14,86.12.0,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,-7.217384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-15,86.12.0,0.4887764111146696,-0.7764217611479276,-0.3186393639643752,-1.534120544352546,0.07841241273311221,0.8871465590188761,0.579132162255556,-0.579132162255556,-0.4887764111146696,-0.2372021093287877,0.6744897501960818,0.7764217611479276,0.0,0.2372021093287877,-1.8627318674216515,0.1573106846101707,-0.6744897501960818,0.3186393639643752,1.150349380376008,-0.8871465590188761,-1.318010897303537,-0.07841241273311221,1.534120544352546,0.40225006532172536,1.8627318674216515,1.318010897303537,-0.1573106846101707,-0.40225006532172536,-1.150349380376008,-1.009990169249582,1.009990169249582,0.3740768373841143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22089601470232037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13571520556665112,0.0,0.0,0.0,0.7082093294783696
2023-11-16,86.12.0,-6.024463620460242,-5.7510755997537775,-4.601805468371667,-5.929634972080783,-5.498956650344358,-4.356674682514387,-5.167718206029896,-6.7999192060094416,-5.416662573840449,-5.665606941950974,-4.808861529008792,-4.708783437579851,-5.082249548468427,-4.903690176873811,-7.0267269693856536,-5.3343684973693195,-5.251564510214939,-4.485599441430567,-3.8065981908429545,-6.347725710446338,-6.124541712526517,-6.231519682523192,-3.4617195653840396,-4.9944998517016534,-4.033405950933003,-4.209367244951476,-5.581760637597894,-5.838825296841899,-7.371605600795771,-6.623957909784551,-6.476650470605018,0.0,0.0,0.0,0.0,0.0,0.13872896944337848,0.609311014646384,0.0,0.0,0.0,0.0,0.0,0.0,1.008370169349082,0.0,0.0,0.0,3.338463385519797,0.0,0.22835665295063232,0.0,0.0,0.0,0.0,0.0,0.0,0.3730020165449791,0.0,0.0,0.0,1.735106821925738
2023-11-17,86.12.0,-7.2705632107116145,-6.684826692278186,-4.940885821459599,-4.690731309837102,-5.8688752462285905,-4.091380642681006,-6.3824399162370025,-7.88873466172889,-5.7507210707115615,-6.115145025586087,-5.291734239650964,-3.898866174662439,-5.060048099386436,-5.634689361813544,-7.538554488258439,-5.520000181568109,-4.81819523427211,-4.5569112054441225,-4.414627013401544,-6.856541155561196,-5.99001710838515,-6.528027321272383,-2.9387791930390206,-5.176705105250109,-3.3784068461034265,-3.670473921232859,-4.26092164799694,-5.405921059494516,-8.430860034341292,-6.245455850509751,-7.048752841367788,0.13422978546429565,0.0,0.9697922585393572,0.0,0.0,8.326032962997695,0.0,0.0,0.0,0.0,0.0,2.5660045790756913,0.0,1.5667816547727518,0.0,4.371348179166398,0.0,0.22454467428816546,0.0,0.0,0.0,0.0,0.0,0.6007346467192403,0.0,0.0,0.3695384683824073,0.0,0.0,0.0,0.0
2023-11-18,86.12.0,-6.812689288674457,-5.662746419964515,-5.4345494665970895,-2.5605112223512707,-5.908880605298979,-4.300000069166236,-4.135791910898832,-7.685051973801391,-3.975927299432523,-5.220936024918638,-2.370315962969833,-3.0566418969401203,-3.665806051387092,-4.469434465619024,-9.300177331466497,-4.645053466156678,-2.7347629495517642,-3.8195536669292043,-1.8890433479626065,-7.205790641095725,-5.019385289022248,-4.827943766716013,-1.5105672789967899,-3.3623985496036273,-2.1538198187660864,-3.2105127139278165,-2.8989079266879623,-3.5137634415224688,-8.316294187822926,-6.177573462854329,-6.475473348641328,0.5543912381679543,0.0,0.0,0.0,0.0,0.8271425792365056,1.2220350561538798,0.0,0.0,0.0,0.0,2.632594891889788,0.0,5.839243054601277,0.0,15.994448352498317,0.23887449920161716,0.3667945156719757,3.8855615219874093,0.0,0.0,0.15271369705270263,0.0,9.15106392058182,0.0,0.0,1.7946026953476344,0.0,0.0,0.0,0.0
